"variable","n_missing","pct_missing","mechanism","rationale","imputation"
"Date",0,0,"No missing values","Complete column; no missing-data mechanism needs to be assigned.","None required."
"Home.Team",0,0,"No missing values","Complete column; no missing-data mechanism needs to be assigned.","None required."
"Away.Team",0,0,"No missing values","Complete column; no missing-data mechanism needs to be assigned.","None required."
"Winner",0,0,"No missing values","Complete column; no missing-data mechanism needs to be assigned.","None required."
"Loser",0,0,"No missing values","Complete column; no missing-data mechanism needs to be assigned.","None required."
"Kills.Home",0,0,"No missing values","Complete column; no missing-data mechanism needs to be assigned.","None required."
"Kills.Away",0,0,"No missing values","Complete column; no missing-data mechanism needs to be assigned.","None required."
"Blocks.Home",0,0,"No missing values","Complete column; no missing-data mechanism needs to be assigned.","None required."
"Blocks.Away",0,0,"No missing values","Complete column; no missing-data mechanism needs to be assigned.","None required."
"Aces.Home",0,0,"No missing values","Complete column; no missing-data mechanism needs to be assigned.","None required."
"Aces.Away",0,0,"No missing values","Complete column; no missing-data mechanism needs to be assigned.","None required."
"Opponents.Errors.Home",0,0,"No missing values","Complete column; no missing-data mechanism needs to be assigned.","None required."
"Opponents.Errors.Away",0,0,"No missing values","Complete column; no missing-data mechanism needs to be assigned.","None required."
"Total.Points.Home",0,0,"No missing values","Complete column; no missing-data mechanism needs to be assigned.","None required."
"Total.Points.Away",0,0,"No missing values","Complete column; no missing-data mechanism needs to be assigned.","None required."
"Digs.Home",0,0,"No missing values","Complete column; no missing-data mechanism needs to be assigned.","None required."
"Digs.Away",0,0,"No missing values","Complete column; no missing-data mechanism needs to be assigned.","None required."
"Receptions.Home",23,19.8275862068966,"MCAR (plausible)","No association was detected with either team or observed points, digs, or kills; recording loss is plausible.","Overall median; robust to skew and suitable for a plausibly MCAR numeric field."
"Receptions.Away",0,0,"No missing values","Complete column; no missing-data mechanism needs to be assigned.","None required."
"Set1.Home",0,0,"No missing values","Complete column; no missing-data mechanism needs to be assigned.","None required."
"Set1.Away",0,0,"No missing values","Complete column; no missing-data mechanism needs to be assigned.","None required."
"Set2.Home",0,0,"No missing values","Complete column; no missing-data mechanism needs to be assigned.","None required."
"Set2.Away",0,0,"No missing values","Complete column; no missing-data mechanism needs to be assigned.","None required."
"Set3.Home",0,0,"No missing values","Complete column; no missing-data mechanism needs to be assigned.","None required."
"Set3.Away",0,0,"No missing values","Complete column; no missing-data mechanism needs to be assigned.","None required."
"Set4.Home",44,37.9310344827586,"MNAR (structural)","Missing exactly when the match ended after three sets; absence depends on match length.","Zero: the set was not played, so zero preserves the sporting meaning."
"Set4.Away",44,37.9310344827586,"MNAR (structural)","Missing exactly when the match ended after three sets; absence depends on match length.","Zero: the set was not played, so zero preserves the sporting meaning."
"Set5.Home",85,73.2758620689655,"MNAR (structural)","Missing exactly when no deciding fifth set was played; absence depends on match length.","Zero: the set was not played, so zero preserves the sporting meaning."
"Set5.Away",85,73.2758620689655,"MNAR (structural)","Missing exactly when no deciding fifth set was played; absence depends on match length.","Zero: the set was not played, so zero preserves the sporting meaning."
