"Team","Age","Height","Setting Errors","Sets Per Match","Successful Receives","Receiving Errors","Receives Per Match","Aces","Service Errors","Service Attempts","Serves Per Match","Blocks","Blocking Errors","Blocks Per Match","Defensive Errors","Defensive Receptions","Digs Per Match","Kills","Attacking Errors","Attacking Attempts","Attacks Per Match","Total.Errors","Team.Name","Team.Key","Rank","Team.Official","Total","Won","Lost","3-0","3-1","3-2","2-3","1-3","0-3","Points","Sets Won","Sets Lost","Set Ratio","Points Won","Points Lost","Point Ratio"
"ARG",25.4210526315789,194.789473684211,0.473684210526316,1.83526315789474,10.4210526315789,2.89473684210526,1.19,2.84210526315789,13.1052631578947,42.7368421052632,0.244736842105263,5.52631578947368,12.5789473684211,0.493157894736842,9.73684210526316,12.3157894736842,2.06263157894737,33.0526315789474,9.26315789473684,27.6842105263158,3.1,48.0526315789474,"Argentina","Argentina",12,"Argentina",12,6,6,1,2,3,1,4,1,16,24,26,0.923,1114,1118,0.996
"BRA",26.2777777777778,198.222222222222,0.333333333333333,2.09666666666667,12.6111111111111,3.16666666666667,0.926666666666667,4.44444444444444,11.7777777777778,58.7222222222222,0.337777777777778,6.83333333333333,16.3888888888889,0.531666666666667,13.0555555555556,17.1111111111111,1.60333333333333,42.5,12.2777777777778,30.2777777777778,3.37722222222222,57,"Brazil","Brazil",1,"Brazil",12,11,1,5,4,2,1,0,0,32,35,11,3.181,1095,998,1.097
"BUL",24.3,200.15,0.45,1.4125,7.95,3.2,0.667,2.85,9.85,38.05,0.256,6.2,12.15,0.597,6,10.95,1.354,26.15,8.65,21.85,2.348,40.3,"Bulgaria","Bulgaria",10,"Bulgaria",12,6,6,3,1,2,1,2,3,17,22,23,0.956,993,1033,0.961
"CAN",25.6470588235294,195.058823529412,0.352941176470588,1.85588235294118,11.2941176470588,3.23529411764706,0.981764705882353,3.58823529411765,13.4117647058824,45.7647058823529,0.344117647058824,5.52941176470588,13.4705882352941,0.554117647058823,13.1764705882353,14,1.49235294117647,34.5882352941176,9.29411764705882,26.7058823529412,3.40235294117647,52.9411764705882,"Canada","Canada",13,"Canada",12,5,7,3,1,1,3,2,2,17,23,24,0.958,1064,1057,1.006
"CHN",27.3333333333333,196.733333333333,0.933333333333333,1.88866666666667,12.4666666666667,4.6,0.977333333333333,2.93333333333333,10.4666666666667,51.8666666666667,0.236666666666667,6.13333333333333,14.1333333333333,0.517333333333333,13.7333333333333,16.5333333333333,1.49066666666667,34.8666666666667,13.0666666666667,33,2.80333333333333,56.9333333333333,"China","China",17,"China",12,3,9,1,1,1,1,1,7,9,12,30,0.4,881,990,0.889
"CUB",26.9375,196.875,0.6875,1.876875,14.375,4.375,1.255,4.375,16.8125,58.875,0.374375,9.3125,17.3125,0.81875,10.125,14.5,1.99375,44.875,14.5,30.6875,3.708125,63.8125,"Cuba","Cuba",7,"Cuba",12,6,6,0,4,2,4,2,0,20,28,26,1.076,1196,1174,1.018
"FRA",26.2727272727273,196.272727272727,0.363636363636364,2.82545454545455,12.7727272727273,2.40909090909091,1.24318181818182,3.72727272727273,12.3636363636364,38.6818181818182,0.347272727272727,4.54545454545455,11.3636363636364,0.417727272727273,7.36363636363636,9.72727272727273,1.79227272727273,32.1818181818182,8.81818181818182,22.9090909090909,2.88590909090909,42.6818181818182,"France","France",3,"France",12,8,4,4,2,2,2,2,0,24,30,18,1.666,1124,1050,1.07
"GER",26.1578947368421,197.789473684211,0.105263157894737,1.94894736842105,11.1052631578947,3.10526315789474,0.993157894736842,2.78947368421053,12.4210526315789,47.0526315789474,0.265789473684211,4.89473684210526,12.7368421052632,0.507894736842105,10.1052631578947,12.0526315789474,1.89842105263158,35.6842105263158,10.5263157894737,27.8947368421053,3.61842105263158,49,"Germany","Germany",14,"Germany",12,5,7,0,4,1,3,4,0,17,25,27,0.925,1181,1179,1.001
"IRI",24.3125,198.9375,0.625,1.946875,13.125,4,1.17875,4.375,11.9375,51.6875,0.405,6.125,15,0.569375,8.9375,9.8125,1.970625,37.5,11.9375,25.5625,3.60375,52.4375,"Iran","Iran",8,"Iran",12,6,6,2,2,2,3,1,2,19,25,24,1.041,1088,1061,1.025
"ITA",25.6666666666667,196.047619047619,0.333333333333333,1.69952380952381,10.7619047619048,2.57142857142857,0.977619047619048,4.52380952380952,10.9047619047619,48.2857142857143,0.371428571428571,7.04761904761905,14,0.606190476190476,9.76190476190476,13.2380952380952,1.83619047619048,34.5238095238095,9.19047619047619,28.047619047619,3.13571428571429,46.7619047619048,"Italy","Italy",2,"Italy",12,10,2,5,2,3,1,1,0,28,33,14,2.357,1100,962,1.143
"JPN",26.1739130434783,189.782608695652,0.565217391304348,1.69826086956522,9.47826086956522,1.39130434782609,1.07913043478261,2.65217391304348,8.39130434782609,36.2173913043478,0.24304347826087,2.47826086956522,8.78260869565217,0.30695652173913,7,12.695652173913,1.57565217391304,28.3478260869565,8.30434782608696,20.2173913043478,3.42695652173913,34.4347826086956,"Japan","Japan",4,"Japan",12,8,4,5,1,2,1,1,2,23,27,17,1.588,1036,977,1.06
"NED",26.1176470588235,198.529411764706,0.294117647058824,1.80117647058824,14.6470588235294,2.76470588235294,1.28941176470588,2.35294117647059,12.5294117647059,41.2941176470588,0.207647058823529,5.17647058823529,11.3529411764706,0.527058823529412,12.4705882352941,12.7058823529412,1.51235294117647,32.8235294117647,11.2352941176471,28.7647058823529,2.90941176470588,50.6470588235294,"Netherlands","Netherlands",18,"Netherlands",12,1,11,0,1,0,2,4,5,5,11,34,0.323,942,1068,0.882
"POL",26.76,197.76,0.44,1.6948,9.64,3.6,1.2484,2.84,10.04,42.24,0.3268,5.68,11.64,0.5892,9.6,10.76,1.6836,29.84,7.8,21.76,3.2844,43.12,"Poland","Poland",5,"Poland",12,8,4,3,2,3,2,2,0,23,30,20,1.5,1157,1129,1.024
"SLO",27.1764705882353,197.058823529412,0.647058823529412,2.19941176470588,12.6470588235294,5,0.944117647058824,3.64705882352941,13.4705882352941,57.5882352941176,0.280588235294118,6.17647058823529,15.2941176470588,0.454117647058824,14.1176470588235,21.0588235294118,1.80352941176471,40.5882352941176,13.6470588235294,34.6470588235294,3.28235294117647,62.1764705882353,"Slovenia","Slovenia",6,"Slovenia",12,7,5,2,3,2,0,1,4,19,22,22,1,1002,985,1.017
"SRB",25.2352941176471,198.235294117647,0.411764705882353,1.97411764705882,10.8823529411765,4.11764705882353,1.02294117647059,2.05882352941176,10.7058823529412,42.2941176470588,0.181764705882353,5.64705882352941,13.4117647058824,0.503529411764706,10.2941176470588,11.8235294117647,1.46823529411765,31.2941176470588,11.1764705882353,23.8235294117647,2.83882352941176,50.1176470588235,"Serbia","Serbia",15,"Serbia",12,3,9,1,2,0,1,4,4,10,15,29,0.517,926,1038,0.892
"TUR",26,200.2,0.15,1.273,6.9,2.8,0.6495,2.8,8.75,36,0.294,4.4,11.6,0.48,8.35,9,1.85,26.05,8.7,22.9,3.1785,40.35,"Turkiye","TURKEY",16,"Türkiye",12,3,9,2,1,0,1,3,5,10,14,28,0.5,945,992,0.952
"UKR",28.6470588235294,195.294117647059,0.411764705882353,2.40764705882353,9.58823529411765,3.64705882352941,0.811764705882353,3.47058823529412,12.2941176470588,48.4705882352941,0.308235294117647,6.82352941176471,14.3529411764706,0.596470588235294,8.88235294117647,14.2352941176471,1.65176470588235,36.8823529411765,11,28.9411764705882,3.12235294117647,50.5882352941176,"Ukraine","Ukraine",9,"Ukraine",12,6,6,2,1,3,3,1,2,18,25,25,1,1087,1093,0.994
"USA",26.75,196.55,0.3,2.039,8.7,3,0.8765,2.5,10.35,37.45,0.2735,4.6,10,0.4695,9.85,12.1,1.504,28.25,9.1,22.8,2.76,42.6,"USA","USA",11,"USA",12,6,6,2,2,2,1,1,4,17,21,24,0.875,1006,1033,0.973
